total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
90,House,Private room,1,1,2,f
370,House,Entire home/apt,2,3,3,t
300,House,Entire home/apt,3,1,1,t
400,House,Entire home/apt,1,2,3,f
516,House,Entire home/apt,4,6,6,t
223,House,Entire home/apt,2,3,3,t
144,Condominium,Entire home/apt,1.5,2,3,t
175,Apartment,Entire home/apt,1,1,1,f
50,House,Private room,1,1,1,f
120,House,Entire home/apt,2,2,3,t
139,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,1,2,f
95,Apartment,Entire home/apt,1,2,2,t
375,House,Entire home/apt,3,3,5,t
317,House,Entire home/apt,2,3,6,t
104,House,Private room,2.5,2,2,t
75,House,Private room,1,1,2,t
125,Apartment,Entire home/apt,1.5,1,1,t
70,House,Private room,1,1,1,t
335,House,Entire home/apt,1,2,3,f
255,Apartment,Entire home/apt,1,1,1,t
124,Apartment,Entire home/apt,1,1,1,f
117,Apartment,Entire home/apt,1,1,1,t
159,House,Entire home/apt,2,4,4,f
135,House,Private room,1,1,1,t
210,Apartment,Entire home/apt,1,1,1,f
255,House,Entire home/apt,2,3,4,t
125,House,Entire home/apt,1,2,2,f
245,Condominium,Entire home/apt,2,2,2,f
104,House,Private room,1,1,1,f
70,House,Private room,1,1,1,t
62,House,Private room,1,1,1,t
95,House,Private room,1,1,1,f
193,House,Entire home/apt,1,2,2,t
118,Apartment,Entire home/apt,1,1,1,f
95,Apartment,Entire home/apt,1,2,2,t
115,House,Entire home/apt,1,1,1,t
129,Apartment,Entire home/apt,1,2,2,t
850,House,Entire home/apt,4.5,5,8,t
180,Apartment,Entire home/apt,1,1,1,f
195,House,Private room,1.5,1,1,t
99,Apartment,Entire home/apt,1,1,1,t
120,House,Entire home/apt,1,2,3,t
85,House,Entire home/apt,1,1,2,t
252,House,Entire home/apt,1,3,4,t
160,Apartment,Entire home/apt,1,1,1,t
175,Apartment,Entire home/apt,1,1,1,t
250,House,Entire home/apt,1.5,1,1,t
224,House,Entire home/apt,1.5,4,7,t
284,House,Entire home/apt,2,2,2,t
180,House,Entire home/apt,1,2,2,f
102,House,Private room,1,1,1,t
990,House,Entire home/apt,3.5,6,9,f
85,House,Private room,1,1,1,f
389,House,Entire home/apt,1,2,3,f
135,Apartment,Entire home/apt,1,0,1,f
190,Apartment,Entire home/apt,2,2,2,t
159,House,Entire home/apt,1,2,3,t
229,House,Entire home/apt,2,3,4,t
145,Apartment,Entire home/apt,1,1,1,t
275,House,Entire home/apt,2,3,4,t
110,House,Entire home/apt,1,0,2,t
225,House,Entire home/apt,2.5,2,2,t
55,House,Shared room,1,1,1,f
430,House,Entire home/apt,3,4,5,t
204,Apartment,Entire home/apt,1,2,4,t
350,Apartment,Entire home/apt,3,2,2,t
85,Condominium,Entire home/apt,1,1,1,t
55,House,Private room,1,1,1,t
75,House,Private room,1,1,1,t
894,House,Entire home/apt,3,3,4,f
305,House,Entire home/apt,2,3,5,t
145,Apartment,Entire home/apt,1,0,2,t
500,House,Entire home/apt,2.5,3,6,t
480,House,Entire home/apt,3,4,4,t
62,Apartment,Private room,1,1,1,f
160,Apartment,Entire home/apt,1,0,1,t
42,House,Private room,1,1,1,t
175,Apartment,Entire home/apt,1,1,1,t
295,Townhouse,Entire home/apt,2.5,3,6,t
170,Apartment,Entire home/apt,1,1,1,t
135,Apartment,Entire home/apt,1,0,0,t
112,Apartment,Entire home/apt,1,1,1,t
140,House,Entire home/apt,2,2,2,f
144,House,Entire home/apt,2,2,2,t
243,House,Entire home/apt,1,2,3,f
100,Apartment,Entire home/apt,1,1,1,t
30,House,Private room,1,1,1,t
31,House,Private room,1,1,1,t
164,House,Private room,1,1,2,t
150,Apartment,Entire home/apt,1,1,1,t
162,Apartment,Entire home/apt,1,2,3,t
165,Apartment,Entire home/apt,1,2,2,t
85,Condominium,Private room,1,1,1,t
400,House,Entire home/apt,2,4,5,t
71,House,Private room,1.5,2,2,t
275,Apartment,Entire home/apt,1,2,2,t
160,House,Entire home/apt,1,2,2,t
130,Apartment,Entire home/apt,1,0,1,f
165,House,Private room,1,2,3,t
53,Condominium,Private room,1,1,1,t
275,House,Entire home/apt,3,4,5,t
140,House,Entire home/apt,1,1,1,t
140,House,Entire home/apt,1,0,1,f
335,House,Entire home/apt,2,4,6,t
205,House,Entire home/apt,1,2,2,t
30,House,Private room,1,1,1,t
197,House,Entire home/apt,1,2,3,f
135,Apartment,Entire home/apt,1,2,2,t
45,House,Private room,1.5,1,1,t
44,House,Private room,1,1,1,t
126,Apartment,Entire home/apt,1,1,1,t
225,Apartment,Entire home/apt,1,1,1,t
45,House,Private room,2,2,4,f
75,House,Private room,1,1,1,t
104,House,Private room,1,2,3,t
90,House,Private room,1.5,1,1,f
90,House,Private room,1,1,1,f
170,Apartment,Entire home/apt,1,2,3,f
185,Condominium,Entire home/apt,1,0,1,t
394,House,Entire home/apt,2.5,4,4,t
90,House,Private room,1,1,1,t
217,House,Entire home/apt,2,3,4,f
109,House,Entire home/apt,1,1,3,t
79,Apartment,Private room,2,1,1,t
100,Apartment,Entire home/apt,2,2,2,f
110,House,Private room,1,2,2,t
365,Apartment,Entire home/apt,1.5,1,1,t
565,Apartment,Entire home/apt,2.5,2,2,t
299,House,Entire home/apt,2,3,4,f
55,House,Private room,1,1,1,t
104,Apartment,Entire home/apt,1,1,3,t
100,House,Private room,1,1,1,f
1192,House,Entire home/apt,4,5,9,t
230,Apartment,Entire home/apt,1,1,1,t
273,Apartment,Entire home/apt,1,2,2,t
110,Apartment,Entire home/apt,1,1,1,f
199,House,Entire home/apt,1,2,2,t
295,Apartment,Entire home/apt,1,1,1,t
81,Condominium,Private room,1,1,1,t
400,Apartment,Entire home/apt,2,4,6,t
104,Apartment,Entire home/apt,1,1,1,f
325,Condominium,Entire home/apt,2,2,2,t
375,House,Entire home/apt,2,3,4,t
71,House,Private room,1,1,1,t
124,Apartment,Entire home/apt,1,0,1,t
100,House,Private room,1,1,1,t
95,House,Private room,1,2,3,t
140,Apartment,Entire home/apt,1,0,2,t
235,Apartment,Entire home/apt,1,2,2,t
78,House,Entire home/apt,1,1,1,t
112,House,Private room,1,1,1,t
399,House,Entire home/apt,3,4,5,t
115,House,Private room,1,1,1,t
240,House,Entire home/apt,2,3,3,t
70,House,Private room,1,1,1,t
137,House,Private room,1.5,1,2,t
124,House,Private room,1,1,1,t
229,Apartment,Entire home/apt,1,2,2,f
107,House,Private room,1,1,1,t
68,House,Private room,1,1,1,t
125,House,Entire home/apt,2,3,3,t
24,House,Shared room,1,1,2,f
579,House,Entire home/apt,3.5,4,5,t
175,House,Private room,1,1,1,t
295,Apartment,Entire home/apt,1,1,1,t
275,House,Entire home/apt,3,4,4,t
174,House,Private room,1,1,1,t
70,House,Private room,1,1,2,t
276,House,Entire home/apt,2,2,1,f
190,House,Entire home/apt,2.5,2,2,f
219,House,Entire home/apt,1,3,4,t
295,Apartment,Entire home/apt,1,1,1,t
295,Apartment,Entire home/apt,1,1,1,t
288,House,Entire home/apt,2,2,2,t
350,House,Entire home/apt,2,3,3,t
