total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
170,Apartment,Entire home/apt,1,2,2,t
101,Apartment,Entire home/apt,1,2,1,f
229,House,Entire home/apt,1.5,2,2,t
194,Apartment,Entire home/apt,1,2,3,t
135,House,Private room,1,1,1,t
75,House,Private room,1,1,1,f
400,House,Entire home/apt,2,3,4,f
160,Apartment,Entire home/apt,1,1,0,t
55,House,Private room,1,1,1,f
105,House,Entire home/apt,1,2,2,t
130,House,Entire home/apt,1,0,1,t
250,House,Entire home/apt,3.5,4,4,t
315,Apartment,Entire home/apt,1,1,2,t
115,House,Private room,1,1,1,f
120,Apartment,Entire home/apt,1,1,0,f
339,House,Entire home/apt,1,1,1,f
145,House,Entire home/apt,1,1,1,t
104,House,Private room,1,1,1,t
425,House,Entire home/apt,2,3,4,f
280,Apartment,Entire home/apt,1,1,1,t
230,House,Entire home/apt,1,2,2,t
80,House,Private room,1,1,1,t
175,House,Entire home/apt,1,2,2,t
299,House,Entire home/apt,2,2,2,f
220,House,Entire home/apt,3,3,2,f
139,House,Entire home/apt,1,2,2,t
90,House,Private room,1,1,1,f
150,Apartment,Entire home/apt,1,1,1,t
220,House,Entire home/apt,2,3,3,f
150,House,Entire home/apt,1,2,3,t
140,House,Entire home/apt,1,2,2,f
85,House,Private room,1,1,1,t
1114,House,Entire home/apt,4.5,4,9,t
143,Apartment,Entire home/apt,1,1,1,t
180,Apartment,Entire home/apt,1,1,2,t
200,House,Private room,1,2,2,f
100,Apartment,Entire home/apt,1,1,1,f
175,Apartment,Entire home/apt,1,1,2,t
84,House,Private room,1,1,1,f
115,Apartment,Entire home/apt,1,1,1,t
230,Apartment,Entire home/apt,1,1,2,t
225,Apartment,Entire home/apt,1,1,2,t
465,House,Entire home/apt,2,3,3,t
245,House,Entire home/apt,2,2,2,t
86,House,Private room,1,1,1,t
360,Apartment,Entire home/apt,2,2,2,f
66,House,Private room,1,1,1,t
105,House,Private room,1,1,3,t
450,House,Entire home/apt,2,3,4,t
600,House,Entire home/apt,3,3,3,t
150,House,Entire home/apt,1,1,2,t
122,House,Private room,1,1,2,t
450,House,Entire home/apt,2,3,7,t
107,House,Private room,1,1,1,t
225,Apartment,Entire home/apt,1,1,2,t
40,House,Private room,1,1,1,f
75,House,Private room,1,1,1,t
116,Apartment,Entire home/apt,1,1,1,t
220,House,Entire home/apt,1,1,1,f
115,Apartment,Entire home/apt,1.5,1,2,t
230,Townhouse,Entire home/apt,1,1,2,t
175,House,Entire home/apt,2,3,2,t
144,House,Entire home/apt,1,0,1,t
125,Apartment,Entire home/apt,1,1,1,t
85,Apartment,Entire home/apt,1,1,1,f
225,Apartment,Entire home/apt,1,2,2,t
169,Apartment,Entire home/apt,1,1,1,t
184,Apartment,Entire home/apt,1,1,2,t
180,House,Entire home/apt,1,1,1,t
137,Apartment,Entire home/apt,2,3,4,f
152,Apartment,Entire home/apt,1,1,2,t
70,House,Private room,1,1,0,f
67,House,Private room,1,1,1,f
90,House,Private room,1,1,1,t
174,House,Entire home/apt,1,2,2,f
330,House,Entire home/apt,2,3,4,t
95,House,Private room,1,1,2,f
70,Apartment,Private room,1,1,0,f
89,House,Private room,1,1,1,t
230,House,Entire home/apt,1,3,0,t
164,Condominium,Entire home/apt,1,1,1,f
150,House,Entire home/apt,1,1,1,f
125,Apartment,Entire home/apt,1,1,1,t
100,House,Private room,1,1,1,t
228,Condominium,Entire home/apt,2,2,2,f
100,House,Private room,1,1,1,t
242,Apartment,Entire home/apt,1,2,2,f
144,House,Entire home/apt,1,2,2,f
242,Apartment,Entire home/apt,1,2,2,f
242,Apartment,Entire home/apt,1,2,2,f
359,House,Entire home/apt,2,2,2,f
115,Apartment,Entire home/apt,1,1,1,t
35,House,Private room,1,1,1,t
70,House,Private room,1.5,1,1,f
166,House,Entire home/apt,2,2,2,t
110,House,Private room,1,1,1,t
215,Apartment,Entire home/apt,2,2,2,t
270,Condominium,Entire home/apt,1,1,1,t
90,House,Private room,1,1,1,t
225,Apartment,Entire home/apt,1,1,2,t
150,House,Entire home/apt,2,2,2,t
174,Apartment,Entire home/apt,1,2,3,f
180,House,Entire home/apt,1,1,2,t
200,House,Entire home/apt,1,1,1,f
137,House,Entire home/apt,2,2,2,f
161,Apartment,Entire home/apt,1,1,1,t
130,House,Entire home/apt,1,1,1,f
104,House,Private room,1,1,1,t
225,House,Private room,1,1,3,f
100,House,Private room,1,1,2,f
120,House,Private room,1,1,1,f
73,Condominium,Private room,1,1,1,t
169,Apartment,Entire home/apt,1,1,1,t
210,House,Entire home/apt,2,3,3,t
60,House,Entire home/apt,1,1,2,f
145,House,Entire home/apt,2,4,4,f
97,Apartment,Entire home/apt,1,1,2,t
115,House,Private room,1,2,2,f
75,House,Entire home/apt,1,2,3,f
194,House,Entire home/apt,2,3,3,t
85,House,Private room,1,1,1,t
236,Townhouse,Entire home/apt,1,1,1,t
58,House,Private room,1,1,1,t
96,House,Private room,1,1,2,t
119,House,Private room,1.5,1,1,t
249,House,Entire home/apt,1,2,2,t
325,Apartment,Entire home/apt,1,1,1,t
68,House,Private room,1,1,1,f
345,House,Entire home/apt,2,3,4,t
231,Apartment,Entire home/apt,1,1,1,t
115,House,Private room,1,1,1,f
230,House,Entire home/apt,2,3,5,t
125,Apartment,Entire home/apt,1,2,2,t
110,House,Private room,1,1,1,t
214,Apartment,Entire home/apt,1,2,2,t
185,House,Entire home/apt,2,2,3,f
117,Apartment,Entire home/apt,1,2,3,t
145,Apartment,Entire home/apt,1,1,1,f
48,House,Private room,1,1,1,f
110,Apartment,Entire home/apt,1,1,1,t
284,Apartment,Entire home/apt,1,1,1,t
60,House,Private room,1,1,2,t
124,House,Private room,1,1,1,t
83,House,Private room,1,1,2,t
85,House,Private room,1,1,1,t
107,House,Private room,1,1,1,t
242,Apartment,Entire home/apt,1,1,1,t
85,House,Entire home/apt,1,1,1,t
224,Apartment,Entire home/apt,1,1,1,t
225,House,Entire home/apt,2,2,3,f
100,House,Private room,1,1,1,t
400,House,Entire home/apt,2,3,3,t
230,House,Entire home/apt,2,2,2,t
343,House,Entire home/apt,2,2,3,f
265,House,Entire home/apt,2,3,4,t
390,Apartment,Entire home/apt,1,2,2,t
155,Apartment,Entire home/apt,1,1,1,f
130,Apartment,Entire home/apt,1,1,1,t
240,House,Entire home/apt,2,3,4,t
120,House,Entire home/apt,2,2,2,f
40,Apartment,Private room,2,1,1,f
126,Apartment,Entire home/apt,1,1,2,t
149,House,Entire home/apt,2,2,2,t
375,House,Entire home/apt,2,3,5,t
175,House,Private room,1,1,1,t
65,House,Private room,1,1,1,t
370,House,Entire home/apt,1.5,3,3,f
385,House,Entire home/apt,3,3,3,f
175,Apartment,Entire home/apt,1,1,1,t
215,Apartment,Entire home/apt,1,1,1,f
170,House,Entire home/apt,1,2,2,t
125,House,Private room,2,3,4,t
175,Apartment,Entire home/apt,1,2,2,t
150,Apartment,Entire home/apt,1,1,2,t
209,House,Entire home/apt,2,2,2,t
160,House,Entire home/apt,1,2,3,t
204,House,Entire home/apt,1,1,1,t
66,House,Private room,1,1,2,t
174,House,Entire home/apt,2,2,2,t
200,House,Entire home/apt,1,3,3,t
50,House,Private room,1,1,1,t
170,Apartment,Entire home/apt,1,1,1,t
275,Condominium,Entire home/apt,1,2,3,t
138,Apartment,Entire home/apt,1,1,1,t
199,House,Entire home/apt,1,2,3,t
175,House,Entire home/apt,2,3,3,t
174,House,Entire home/apt,1,2,4,t
197,Apartment,Entire home/apt,1,2,2,t
158,House,Entire home/apt,1,1,1,t
138,House,Entire home/apt,1,1,1,t
85,House,Private room,1,1,1,t
90,House,Private room,1,1,2,f
230,Apartment,Entire home/apt,1,1,1,t
370,House,Entire home/apt,2,3,3,t
105,House,Private room,1,1,1,t
89,House,Private room,1,1,1,t
300,House,Entire home/apt,3,1,1,t
300,House,Entire home/apt,2.5,2,3,t
150,Apartment,Entire home/apt,1,2,4,t
323,House,Entire home/apt,2,3,3,f
400,House,Entire home/apt,1,2,3,f
516,House,Entire home/apt,4,6,6,t
148,House,Entire home/apt,3,3,3,t
223,House,Entire home/apt,2,3,3,t
144,Condominium,Entire home/apt,1.5,2,3,t
70,House,Private room,1.5,1,1,f
175,Apartment,Entire home/apt,1,1,1,f
103,House,Private room,1,1,1,t
50,House,Private room,1,1,1,f
120,House,Entire home/apt,2,2,3,t
139,Apartment,Entire home/apt,1,0,1,t
194,Apartment,Entire home/apt,1,1,2,f
370,House,Entire home/apt,1,1,1,f
72,Apartment,Entire home/apt,1,1,1,t
100,House,Entire home/apt,1,1,2,t
95,Apartment,Entire home/apt,1,2,2,t
375,House,Entire home/apt,3,3,5,t
317,House,Entire home/apt,2,3,6,t
104,House,Private room,2.5,2,2,t
75,House,Private room,1,1,2,t
125,Apartment,Entire home/apt,1.5,1,1,t
38,House,Private room,1,1,1,f
90,House,Private room,1,1,5,t
70,House,Private room,1,1,1,t
597,House,Entire home/apt,4,4,4,t
335,House,Entire home/apt,1,2,3,f
255,Apartment,Entire home/apt,1,1,1,t
124,Apartment,Entire home/apt,1,1,1,f
110,Apartment,Entire home/apt,1,0,2,t
117,Apartment,Entire home/apt,1,1,1,t
159,House,Entire home/apt,2,4,4,f
135,House,Private room,1,1,1,t
70,House,Private room,1,1,1,t
210,Apartment,Entire home/apt,1,1,1,f
255,House,Entire home/apt,2,3,4,t
165,Apartment,Entire home/apt,1,1,1,t
95,House,Private room,1,1,2,f
125,House,Entire home/apt,1,2,2,f
300,Apartment,Entire home/apt,2,3,3,f
128,Apartment,Entire home/apt,1,1,1,t
245,Condominium,Entire home/apt,2,2,2,f
104,House,Private room,1,1,1,f
139,House,Private room,0,0,2,f
70,House,Private room,1,1,1,t
62,House,Private room,1,1,1,t
95,House,Private room,1,1,1,f
65,House,Private room,1,1,1,f
193,House,Entire home/apt,1,2,2,t
100,House,Private room,1,1,1,t
118,Apartment,Entire home/apt,1,1,1,f
95,Apartment,Entire home/apt,1,2,2,t
115,House,Entire home/apt,1,1,1,t
140,House,Entire home/apt,1,2,6,t
129,Apartment,Entire home/apt,1,2,2,t
850,House,Entire home/apt,4.5,5,8,t
449,House,Entire home/apt,2,2,4,t
114,House,Entire home/apt,1,1,1,f
114,House,Private room,1,1,1,t
180,Apartment,Entire home/apt,1,1,1,f
195,House,Private room,1.5,1,1,t
109,House,Private room,1,2,2,t
129,Apartment,Entire home/apt,1,2,2,t
99,Apartment,Entire home/apt,1,1,1,t
728,House,Entire home/apt,2.5,3,6,t
120,House,Entire home/apt,1,2,3,t
85,House,Entire home/apt,1,1,2,t
141,Apartment,Entire home/apt,1,1,2,t
252,House,Entire home/apt,1,3,4,t
280,House,Entire home/apt,2,4,6,f
275,House,Entire home/apt,1.5,3,3,f
117,House,Entire home/apt,1,1,2,t
575,House,Entire home/apt,3.5,4,4,t
82,House,Private room,1,1,1,t
119,Apartment,Entire home/apt,1,1,2,t
160,Apartment,Entire home/apt,1,1,1,t
175,Apartment,Entire home/apt,1,1,1,t
127,House,Entire home/apt,1,2,3,t
300,House,Entire home/apt,1,2,2,t
250,House,Entire home/apt,1.5,1,1,t
46,Apartment,Entire home/apt,1,0,1,t
95,House,Private room,1,1,1,f
268,House,Entire home/apt,2,3,3,t
224,House,Entire home/apt,1.5,4,7,t
284,House,Entire home/apt,2,2,2,t
140,Apartment,Entire home/apt,1,1,1,f
229,Apartment,Entire home/apt,1,1,1,f
240,House,Entire home/apt,2,3,4,t
180,House,Entire home/apt,1,2,2,f
85,House,Private room,1,1,1,f
160,Apartment,Entire home/apt,1,0,2,t
205,Apartment,Entire home/apt,1,1,2,t
540,House,Entire home/apt,3.5,5,5,f
235,House,Entire home/apt,2,3,5,f
102,House,Private room,1,1,1,t
70,Apartment,Private room,1,1,1,f
75,House,Private room,1,0,1,f
990,House,Entire home/apt,3.5,6,9,f
85,House,Private room,1,1,1,f
385,House,Entire home/apt,2,2,4,t
175,House,Entire home/apt,1,1,1,t
389,House,Entire home/apt,1,2,3,f
135,Apartment,Entire home/apt,1,0,1,f
190,Apartment,Entire home/apt,2,2,2,t
159,House,Entire home/apt,1,2,3,t
229,House,Entire home/apt,2,3,4,t
145,Apartment,Entire home/apt,1,1,1,t
275,House,Entire home/apt,2,3,4,t
110,House,Entire home/apt,1,0,2,t
380,House,Entire home/apt,2,3,5,t
120,House,Entire home/apt,1,2,2,t
225,House,Entire home/apt,2.5,2,2,t
55,House,Shared room,1,1,1,f
430,House,Entire home/apt,3,4,5,t
90,House,Private room,1,1,8,f
204,Apartment,Entire home/apt,1,2,4,t
155,Apartment,Entire home/apt,1,1,2,t
375,House,Entire home/apt,2,3,3,t
350,Apartment,Entire home/apt,3,2,2,t
85,Condominium,Entire home/apt,1,1,1,t
55,House,Private room,1,1,1,t
159,House,Private room,1,1,3,t
75,House,Private room,1,1,1,t
600,House,Entire home/apt,3,4,6,t
894,House,Entire home/apt,3,3,4,f
305,House,Entire home/apt,2,3,5,t
90,House,Private room,1,1,1,t
145,Apartment,Entire home/apt,1,0,2,t
142,Apartment,Entire home/apt,1,1,1,f
500,House,Entire home/apt,2.5,3,6,t
135,Apartment,Entire home/apt,1,1,4,t
480,House,Entire home/apt,3,4,4,t
300,House,Entire home/apt,2,3,3,t
62,Apartment,Private room,1,1,1,f
160,Apartment,Entire home/apt,1,0,1,t
42,House,Private room,1,1,1,t
65,House,Private room,1.5,2,2,f
175,Apartment,Entire home/apt,1,1,1,t
140,Apartment,Entire home/apt,1,1,1,f
174,House,Private room,1.5,2,2,t
295,Townhouse,Entire home/apt,2.5,3,6,t
170,Apartment,Entire home/apt,1,1,1,t
85,House,Private room,1,1,1,t
135,Apartment,Entire home/apt,1,0,0,t
185,Apartment,Entire home/apt,1,1,2,t
54,House,Private room,1,1,1,t
725,House,Entire home/apt,2,3,4,t
112,Apartment,Entire home/apt,1,1,1,t
140,House,Entire home/apt,2,2,2,f
146,Apartment,Entire home/apt,1,1,2,t
144,House,Entire home/apt,2,2,2,t
243,House,Entire home/apt,1,2,3,f
325,House,Entire home/apt,1,3,3,f
105,House,Private room,1,1,1,t
100,Apartment,Entire home/apt,1,1,1,t
174,House,Private room,1,1,1,f
30,House,Private room,1,1,1,t
31,House,Private room,1,1,1,t
85,House,Private room,1,1,1,f
164,House,Private room,1,1,2,t
150,Apartment,Entire home/apt,1,1,1,t
164,Townhouse,Entire home/apt,3,3,3,t
184,House,Private room,1,1,2,t
145,House,Entire home/apt,1,1,1,t
159,Apartment,Entire home/apt,1,1,1,t
260,House,Entire home/apt,2,2,3,t
300,Condominium,Entire home/apt,1.5,2,2,f
162,Apartment,Entire home/apt,1,2,3,t
165,Apartment,Entire home/apt,1,2,2,t
160,Apartment,Entire home/apt,1,2,3,t
85,Condominium,Private room,1,1,1,t
315,House,Entire home/apt,2,3,3,t
130,Apartment,Entire home/apt,1,1,1,t
400,House,Entire home/apt,2,4,5,t
71,House,Private room,1.5,2,2,t
160,House,Private room,2,2,4,t
275,Apartment,Entire home/apt,1,2,2,t
103,House,Entire home/apt,2,3,3,t
120,Apartment,Entire home/apt,1,1,1,t
260,Apartment,Entire home/apt,1,2,2,t
306,Condominium,Entire home/apt,1,2,2,f
160,House,Entire home/apt,1,2,2,t
235,House,Entire home/apt,2,3,3,t
410,Condominium,Entire home/apt,2,2,2,f
130,Apartment,Entire home/apt,1,0,1,f
165,House,Private room,1,2,3,t
53,Condominium,Private room,1,1,1,t
275,House,Entire home/apt,3,4,5,t
140,House,Entire home/apt,1,1,1,t
140,House,Entire home/apt,1,0,1,f
335,House,Entire home/apt,2,4,6,t
145,Apartment,Entire home/apt,1,1,1,t
64,House,Entire home/apt,2,2,2,f
205,House,Entire home/apt,1,2,2,t
32,House,Private room,1,1,1,t
30,House,Private room,1,1,1,t
197,House,Entire home/apt,1,2,3,f
168,House,Entire home/apt,1,3,5,t
105,House,Entire home/apt,1,1,2,t
135,Apartment,Entire home/apt,1,2,2,t
115,House,Private room,1,1,1,t
128,Apartment,Entire home/apt,1,1,1,t
193,House,Entire home/apt,2,2,2,f
45,House,Private room,1.5,1,1,t
44,House,Private room,1,1,1,t
60,House,Private room,1,1,1,t
178,House,Entire home/apt,2,2,2,t
199,House,Entire home/apt,2,3,4,t
255,House,Entire home/apt,1,2,3,t
126,Apartment,Entire home/apt,1,1,1,t
269,House,Entire home/apt,2,3,3,t
225,Apartment,Entire home/apt,1,1,1,t
45,House,Private room,2,2,4,f
874,Townhouse,Entire home/apt,4,6,9,t
90,House,Entire home/apt,1,1,3,f
75,House,Private room,1,1,1,t
284,House,Entire home/apt,2.5,4,5,t
130,House,Private room,1.5,3,3,f
345,House,Entire home/apt,2,3,4,t
104,House,Private room,1,2,3,t
110,Apartment,Entire home/apt,1,1,1,t
300,Condominium,Entire home/apt,1,1,1,t
550,Townhouse,Entire home/apt,2.5,3,4,t
43,Townhouse,Private room,1,1,1,t
90,House,Private room,1.5,1,1,f
100,Condominium,Private room,1,1,1,f
252,Condominium,Entire home/apt,1,1,1,f
